"WORD" "POLARITY"
"abandon" -2
"abandoned" -2
"abandons" -2
"abducted" -2
"abduction" -2
"abductions" -2
"abhor" -3
"abhorred" -3
"abhorrent" -3
"abhors" -3
"abilities" 2
"ability" 2
"aboard" 1
"absentee" -1
"absentees" -1
"absolve" 2
"absolved" 2
"absolves" 2
"absolving" 2
"absorbed" 1
"abuse" -3
"abused" -3
"abuses" -3
"abusive" -3
"accept" 1
"accepted" 1
"accepting" 1
"accepts" 1
"accident" -2
"accidental" -2
"accidentally" -2
"accidents" -2
"accomplish" 2
"accomplished" 2
"accomplishes" 2
"accusation" -2
"accusations" -2
"accuse" -2
"accused" -2
"accuses" -2
"accusing" -2
"ache" -2
"achievable" 1
"aching" -2
"acquit" 2
"acquits" 2
"acquitted" 2
"acquitting" 2
"acrimonious" -3
"active" 1
"adequate" 1
"admire" 3
"admired" 3
"admires" 3
"admiring" 3
"admit" -1
"admits" -1
"admitted" -1
"admonish" -2
"admonished" -2
"adopt" 1
"adopts" 1
"adorable" 3
"adore" 3
"adored" 3
"adores" 3
"advanced" 1
"advantage" 2
"advantages" 2
"adventure" 2
"adventures" 2
"adventurous" 2
"affected" -1
"affection" 3
"affectionate" 3
"afflicted" -1
"affronted" -1
"afraid" -2
"aggravate" -2
"aggravated" -2
"aggravates" -2
"aggravating" -2
"aggression" -2
"aggressions" -2
"aggressive" -2
"aghast" -2
"agog" 2
"agonise" -3
"agonised" -3
"agonises" -3
"agonising" -3
"agonize" -3
"agonized" -3
"agonizes" -3
"agonizing" -3
"agree" 1
"agreeable" 2
"agreed" 1
"agreement" 1
"agrees" 1
"alarm" -2
"alarmed" -2
"alarmist" -2
"alarmists" -2
"alas" -1
"alert" -1
"alienation" -2
"alive" 1
"allergic" -2
"allow" 1
"alone" -2
"amaze" 2
"amazed" 2
"amazes" 2
"amazing" 4
"ambitious" 2
"ambivalent" -1
"amuse" 3
"amused" 3
"amusement" 3
"amusements" 3
"anger" -3
"angers" -3
"angry" -3
"anguish" -3
"anguished" -3
"animosity" -2
"annoy" -2
"annoyance" -2
"annoyed" -2
"annoying" -2
"annoys" -2
"antagonistic" -2
"anti" -1
"anticipation" 1
"anxiety" -2
"anxious" -2
"apathetic" -3
"apathy" -3
"apeshit" -3
"apocalyptic" -2
"apologise" -1
"apologised" -1
"apologises" -1
"apologising" -1
"apologize" -1
"apologized" -1
"apologizes" -1
"apologizing" -1
"apology" -1
"appalled" -2
"appalling" -2
"appease" 2
"appeased" 2
"appeases" 2
"appeasing" 2
"applaud" 2
"applauded" 2
"applauding" 2
"applauds" 2
"applause" 2
"appreciate" 2
"appreciated" 2
"appreciates" 2
"appreciating" 2
"appreciation" 2
"apprehensive" -2
"approval" 2
"approved" 2
"approves" 2
"ardent" 1
"arrest" -2
"arrested" -3
"arrests" -2
"arrogant" -2
"ashame" -2
"ashamed" -2
"ass" -4
"assassination" -3
"assassinations" -3
"asset" 2
"assets" 2
"assfucking" -4
"asshole" -4
"astonished" 2
"astound" 3
"astounded" 3
"astounding" 3
"astoundingly" 3
"astounds" 3
"attack" -1
"attacked" -1
"attacking" -1
"attacks" -1
"attract" 1
"attracted" 1
"attracting" 2
"attraction" 2
"attractions" 2
"attracts" 1
"audacious" 3
"authority" 1
"avert" -1
"averted" -1
"averts" -1
"avid" 2
"avoid" -1
"avoided" -1
"avoids" -1
"await" -1
"awaited" -1
"awaits" -1
"award" 3
"awarded" 3
"awards" 3
"awesome" 4
"awful" -3
"awkward" -2
"axe" -1
"axed" -1
"backed" 1
"backing" 2
"backs" 1
"bad" -3
"badass" -3
"badly" -3
"bailout" -2
"bamboozle" -2
"bamboozled" -2
"bamboozles" -2
"ban" -2
"banish" -1
"bankrupt" -3
"bankster" -3
"banned" -2
"bargain" 2
"barrier" -2
"bastard" -5
"bastards" -5
"battle" -1
"battles" -1
"beaten" -2
"beatific" 3
"beating" -1
"beauties" 3
"beautiful" 3
"beautifully" 3
"beautify" 3
"belittle" -2
"belittled" -2
"beloved" 3
"benefit" 2
"benefits" 2
"benefitted" 2
"benefitting" 2
"bereave" -2
"bereaved" -2
"bereaves" -2
"bereaving" -2
"best" 3
"betray" -3
"betrayal" -3
"betrayed" -3
"betraying" -3
"betrays" -3
"better" 2
"bias" -1
"biased" -2
"big" 1
"bitch" -5
"bitches" -5
"bitter" -2
"bitterly" -2
"bizarre" -2
"blah" -2
"blame" -2
"blamed" -2
"blames" -2
"blaming" -2
"bless" 2
"blesses" 2
"blessing" 3
"blind" -1
"bliss" 3
"blissful" 3
"blithe" 2
"block" -1
"blockbuster" 3
"blocked" -1
"blocking" -1
"blocks" -1
"bloody" -3
"blurry" -2
"boastful" -2
"bold" 2
"boldly" 2
"bomb" -1
"boost" 1
"boosted" 1
"boosting" 1
"boosts" 1
"bore" -2
"bored" -2
"boring" -3
"bother" -2
"bothered" -2
"bothers" -2
"bothersome" -2
"boycott" -2
"boycotted" -2
"boycotting" -2
"boycotts" -2
"brainwashing" -3
"brave" 2
"breakthrough" 3
"breathtaking" 5
"bribe" -3
"bright" 1
"brightest" 2
"brightness" 1
"brilliant" 4
"brisk" 2
"broke" -1
"broken" -1
"brooding" -2
"bullied" -2
"bullshit" -4
"bully" -2
"bullying" -2
"bummer" -2
"buoyant" 2
"burden" -2
"burdened" -2
"burdening" -2
"burdens" -2
"calm" 2
"calmed" 2
"calming" 2
"calms" 2
"can't stand" -3
"cancel" -1
"cancelled" -1
"cancelling" -1
"cancels" -1
"cancer" -1
"capable" 1
"captivated" 3
"care" 2
"carefree" 1
"careful" 2
